Time,pH,Hydrogen,Total Gas,Temperature,Pressure,Radioactivity,Power,Reactor Safety,Injection of Air,Injection of Air Degree,Resin Overheat,Resin Overheat Degree,Fuel Element Failure,Fuel Element Failure Degree,Chemical Addition,Vent Gas
2718,10.604412433314899,38.91607341209588,57.76226379046106,488.6737620787508,2023.1433855343805,1252.1363533784734,100.0,1,,,,,True,True,False,False
2719,10.602412433314898,38.86624156601861,57.712431944383795,488.25861204876406,2020.3262960451848,1252.1363533784734,100.0,1,,,,,True,True,False,False
2720,10.600412433314897,38.820331535344444,57.66652191370963,487.875644347018,2017.7275866404796,1252.1363533784734,100.0,1,,,,,True,True,False,False
2721,10.598412433314897,38.778454871371956,57.62464524973714,487.52590866136296,2015.3543802021059,1252.1363533784734,100.0,1,,,,,True,True,False,False
2722,10.596412433314896,38.74071288213951,57.5869032605047,487.21036359300365,2013.2131815239534,1252.1363533784734,100.0,1,,,,,True,True,False,False
2723,10.594412433314895,38.70719649453956,57.553386872904746,486.9298740290392,2011.309859482766,1252.1363533784734,100.0,1,,,,,True,True,False,False
2724,10.592412433314895,38.67798613455424,57.524176512919425,486.68520877186796,2009.6496309519612,1252.1363533784734,100.0,1,,,,,True,True,False,False
2725,10.590412433314894,38.653151624668496,57.49934200303368,486.4770384319531,2008.237046502539,1252.1363533784734,100.0,1,,,,,True,True,False,False
2726,10.588412433314893,38.6327520975913,57.47894247595649,486.30593358972675,2007.0759779302887,1252.1363533784734,100.0,1,,,,,True,True,False,False
2727,10.586412433314893,38.616835925500574,57.46302630386576,486.1723632316681,2006.1696076434619,1252.1363533784734,100.0,1,,,,,True,True,False,False
2728,10.584412433314892,38.605440664123805,57.45163104248899,486.0766934648442,2005.5204199400143,1252.1363533784734,100.0,1,,,,,True,True,False,False
2729,10.582412433314891,38.59859301107073,57.44478338943592,486.01918651343595,2005.1301941983156,1252.1363533784734,100.0,1,,,,,True,True,False,False
2730,10.58041243331489,38.596308777946554,57.44249915631174,486.0,2005.0,1252.1363533784734,100.0,1,,,,,True,True,False,False
2731,10.57841243331489,38.59859287589168,57.44478325425687,486.01918651343595,2005.1301941983154,1252.1363533784734,100.0,1,,,,,True,True,False,False
2732,10.57641243331489,38.60543931431601,57.451629692681195,486.07669346484414,2005.5204199400139,1252.1363533784734,100.0,1,,,,,True,True,False,False
2733,10.574412433314889,38.61683121272012,57.46302159108531,486.17236323166804,2006.1696076434616,1252.1363533784734,100.0,1,,,,,True,True,False,False
2734,10.572412433314888,38.63274082562131,57.4789312039865,486.3059335897267,2007.0759779302884,1252.1363533784734,100.0,1,,,,,True,True,False,False
2735,10.570412433314887,38.653129580727,57.49931995909218,486.477038431953,2008.2370465025385,1252.1363533784734,100.0,1,,,,,True,True,False,False
2736,10.568412433314887,38.67794813062118,57.52413850898637,486.6852087718678,2009.6496309519598,1252.1363533784734,100.0,1,,,,,True,True,False,False
2737,10.566412433314886,38.70713641834822,57.55332679671341,486.9298740290391,2011.3098594827654,1252.1363533784734,100.0,1,,,,,True,True,False,False
2738,10.564412433314885,38.74062375739199,57.58681413575717,487.21036359300354,2013.2131815239527,1252.1363533784734,100.0,1,,,,,True,True,False,False
2739,10.562412433314885,38.77832892665566,57.62451930502085,487.5259086613627,2015.354380202104,1252.1363533784734,100.0,1,,,,,True,True,False,False
2740,10.560412433314884,38.82016028114571,57.6663506595109,487.8756443470177,2017.7275866404775,1252.1363533784734,100.0,1,,,,,True,True,False,False
2741,10.558412433314883,38.86601587915245,57.712206257517636,488.25861204876395,2020.326296045184,1252.1363533784734,100.0,1,,,,,True,True,False,False
2742,10.556412433314883,38.91578362679794,57.761974005163125,488.6737620787507,2023.1433855343798,1252.1363533784734,100.0,1,,,,,True,True,False,False
2743,10.554412433314882,38.96934144088649,57.815531819251675,489.1199565396022,2026.1711336615863,1252.1363533784734,100.0,1,,,,,True,True,False,False
2744,10.552412433314881,39.02655743104549,57.872747809410676,489.5959724433163,2029.4012415796465,1252.1363533784734,100.0,1,,,,,True,True,False,False
2745,10.55041243331488,39.08729010217996,57.93348048054515,490.10050506338825,2032.8248557872773,1252.1363533784734,100.0,1,,,,,True,True,False,False
2746,10.54841243331488,39.151388578286245,57.99757895665143,490.632171510976,2036.4325923959084,1252.1363533784734,100.0,1,,,,,True,True,False,False
2747,10.54641243331488,39.21869284867264,58.064883227037825,491.189514525302,2040.2145628502637,1252.1363533784734,100.0,1,,,,,True,True,False,False
2748,10.544412433314879,39.28903403762194,58.135224415987125,491.7710064679052,2044.1604010322137,1252.1363533784734,100.0,1,,,,,True,True,False,False
2749,10.542412433314878,39.36223469849685,58.208425076862035,492.3750535097895,2048.2592916735716,1252.1363533784734,100.0,1,,,,,True,True,False,False
2750,10.540412433314877,39.438109133239,58.28429951160419,493.0,2052.5,1252.1363533784734,100.0,1,,,,,True,True,False,False
2751,10.538412433314877,39.516463738139684,58.36265411650487,493.64413300364606,2056.8709025247413,1252.1363533784734,100.0,1,,,,,True,True,False,False
2752,10.536412433314876,39.5970973766703,58.443287755035485,494.3056869969386,2061.360018907798,1252.1363533784734,100.0,1,,,,,True,True,False,False
2753,10.534412433314875,39.67980178004867,58.52599215841386,494.9828487063657,2065.9550447931956,1252.1363533784734,100.0,1,,,,,True,True,False,False
